experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
ERX3291104,ERR3264460,SAMEA5379214,SAMEA5379214,ERS3185803,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,415710.0,188661863.0,University of Southampton,64413187;73432438,,,,2011-08-23,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,121,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,121,,,,,,,,,2011-08-23,
ERX3332592,ERR3306546,SAMEA5380198,SAMEA5380198,ERS3186785,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,420522.0,188694357.0,University of Southampton,65624615;73873732,,,,2012-01-13,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1110,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1110,,,,,,,,,2012-01-13,
SRX12367310,SRR16080894,SAMN21850893,SAMN21850893,SRS10338479,ILLUMINA,Illumina MiSeq,M41471_WGS,PAIRED,,WGS,GENOMIC,RANDOM,375933.0,188718366.0,SUB10407804,69776621;84461183,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M41471,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M41471,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2016,
SRX12367331,SRR16080872,SAMN21850847,SAMN21850847,SRS10338500,ILLUMINA,Illumina MiSeq,M39171_WGS,PAIRED,,WGS,GENOMIC,RANDOM,376326.0,188915652.0,SUB10407804,65367374;84665785,,,United States government,2015-01-01,USA,Illumina MiSeq sequencing; WGS of M39171,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M39171,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2015,
ERX3332110,ERR3306060,SAMEA5379719,SAMEA5379719,ERS3186307,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,412422.0,188933147.0,University of Southampton,66714389;76799815,,,,2011-12-05,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,629,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,629,,,,,,,,,2011-12-05,
SRX6098340,SRR9331811,SAMN11658702,SAMN11658702,SRS4998872,ILLUMINA,Illumina MiSeq,Strain 114,PAIRED,,WGS,GENOMIC,RANDOM,314668.0,188948702.0,,64501432;76191851,,,,2018-01-01,Canada,Illumina MiSeq sequencing,False,2020-07-01,False,,,,a,a,,,,,727,Haemophilus influenzae,Strain 114,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|mshuel on 2020-06-02; Haemophilus influenzae,,,,,,,,,2018,
SRX14456642,SRR18319327,SAMN26645862,SAMN26645862,SRS12262099,ILLUMINA,Illumina MiSeq,M40142,PAIRED,,WGS,GENOMIC,RANDOM,376547.0,189026594.0,SUB11096711,64176168;77483382,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40142,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40142,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX14456169,SRR18318826,SAMN26646091,SAMN26646091,SRS12261627,ILLUMINA,Illumina MiSeq,M39167,PAIRED,,WGS,GENOMIC,RANDOM,376612.0,189059224.0,SUB11096711,63566560;80700664,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39167,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39167,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX14456269,SRR18319070,SAMN26645832,SAMN26645832,SRS12261727,ILLUMINA,Illumina MiSeq,M40222,PAIRED,,WGS,GENOMIC,RANDOM,376639.0,189072778.0,SUB11096711,62103340;80960992,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40222,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40222,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
ERX3332656,ERR3306610,SAMEA5380262,SAMEA5380262,ERS3186849,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,431553.0,189093693.0,University of Southampton,61953230;69780307,,,,2012-07-24,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1176,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1176,,,,,,,,,2012-07-24,
ERX3291521,ERR3264877,SAMEA5380491,SAMEA5380491,ERS3187078,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,404134.0,189143879.0,University of Southampton,61043722;71104482,,,,2011-09-14,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1417,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1417,,,,,,,,,2011-09-14,
SRX14456307,SRR18319032,SAMN26645953,SAMN26645953,SRS12261765,ILLUMINA,Illumina MiSeq,M39834,PAIRED,,WGS,GENOMIC,RANDOM,376810.0,189158620.0,SUB11096711,66244738;77950970,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39834,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39834,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX14456503,SRR18319180,SAMN26645992,SAMN26645992,SRS12261961,ILLUMINA,Illumina MiSeq,M39580,PAIRED,,WGS,GENOMIC,RANDOM,376932.0,189219864.0,SUB11096711,61636792;84680910,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39580,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39580,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
ERX3332545,ERR3306499,SAMEA5380150,SAMEA5380150,ERS3186738,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,435281.0,189465174.0,University of Southampton,63751111;68974319,,,,2012-04-13,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1062,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1062,,,,,,,,,2012-04-13,
ERX3291211,ERR3264567,SAMEA5379321,SAMEA5379321,ERS3185910,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,457891.0,189483488.0,University of Southampton,70131645;75107150,,,,2011-12-19,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,228,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,228,,,,,,,,,2011-12-19,
ERX3332574,ERR3306528,SAMEA5380180,SAMEA5380180,ERS3186767,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,444468.0,189552370.0,University of Southampton,64843473;73827305,,,,2012-06-29,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1092,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1092,,,,,,,,,2012-06-29,
SRX12367410,SRR16080792,SAMN21850685,SAMN21850685,SRS10338579,ILLUMINA,Illumina MiSeq,2141136_WGS,PAIRED,,WGS,GENOMIC,RANDOM,464569.0,189610609.0,SUB10407804,51794907;55287694,,,Netherlands Reference Laboratory for Bacterial Meningitis,2014-01-01,Netherlands,Illumina MiSeq sequencing; WGS of 2141136,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,2141136,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2014,
ERX3332017,ERR3305967,SAMEA5379626,SAMEA5379626,ERS3186214,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,425847.0,189665561.0,University of Southampton,66410021;75474363,,,,2012-01-18,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,535,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,535,,,,,,,,,2012-01-18,
SRX14456668,SRR18319301,SAMN26645928,SAMN26645928,SRS12262126,ILLUMINA,Illumina MiSeq,M39878,PAIRED,,WGS,GENOMIC,RANDOM,377826.0,189668652.0,SUB11096711,66836552;79761078,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39878,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39878,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX12367325,SRR16080882,SAMN21850822,SAMN21850822,SRS10338494,ILLUMINA,Illumina MiSeq,M37291_WGS,PAIRED,,WGS,GENOMIC,RANDOM,377828.0,189669656.0,SUB10407804,66942593;75199744,,,United States government,2014-01-01,USA,Illumina MiSeq sequencing; WGS of M37291,False,2021-10-01,False,,Synovial fluid,,,,,,,,727,Haemophilus influenzae,M37291,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2014,
ERX3291082,ERR3264438,SAMEA5379192,SAMEA5379192,ERS3185781,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,501400.0,189681733.0,University of Southampton,63405371;68320904,,,,2011-08-15,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,98,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,98,,,,,,,,,2011-08-15,
SRX12367273,SRR16080929,SAMN21850768,SAMN21850768,SRS10338443,ILLUMINA,Illumina MiSeq,M27326_WGS,PAIRED,,WGS,GENOMIC,RANDOM,378104.0,189808208.0,SUB10407804,64979093;75282183,,,United States government,2013-01-01,USA,Illumina MiSeq sequencing; WGS of M27326,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M27326,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2013,
ERX3291590,ERR3264946,SAMEA5380560,SAMEA5380560,ERS3187147,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,419765.0,189818382.0,University of Southampton,71193732;77829592,,,,2013-01-21,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1488,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1488,,,,,,,,,2013-01-21,
SRX14456258,SRR18319081,SAMN26645807,SAMN26645807,SRS12261716,ILLUMINA,Illumina MiSeq,M40297,PAIRED,,WGS,GENOMIC,RANDOM,378457.0,189985414.0,SUB11096711,64529266;84782766,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40297,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40297,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
ERX3332326,ERR3306277,SAMEA5379935,SAMEA5379935,ERS3186523,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,417547.0,190055075.0,University of Southampton,66480473;73059946,,,,2011-09-22,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,847,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,847,,,,,,,,,2011-09-22,
SRX12367311,SRR16080893,SAMN21850894,SAMN21850894,SRS10338480,ILLUMINA,Illumina MiSeq,M41472_WGS,PAIRED,,WGS,GENOMIC,RANDOM,378633.0,190073766.0,SUB10407804,70217189;85316263,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M41472,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M41472,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2016,
ERX3291397,ERR3264753,SAMEA5379508,SAMEA5379508,ERS3186096,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,424230.0,190108651.0,University of Southampton,69432090;74681690,,,,2011-09-14,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,415,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,415,,,,,,,,,2011-09-14,
ERX3332380,ERR3306331,SAMEA5379989,SAMEA5379989,ERS3186577,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,422124.0,190117849.0,University of Southampton,72938821;76619174,,,,2012-03-26,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,901,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,901,,,,,,,,,2012-03-26,
ERX3291182,ERR3264538,SAMEA5379292,SAMEA5379292,ERS3185881,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,461504.0,190163583.0,University of Southampton,62575907;70758176,,,,2011-11-28,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,199,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,199,,,,,,,,,2011-11-28,
SRX14456634,SRR18319335,SAMN26645783,SAMN26645783,SRS12262093,ILLUMINA,Illumina MiSeq,M40352,PAIRED,,WGS,GENOMIC,RANDOM,378913.0,190214326.0,SUB11096711,63217233;70531833,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40352,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40352,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX12367281,SRR16080920,SAMN21850933,SAMN21850933,SRS10338450,ILLUMINA,Illumina MiSeq,M43791_WGS,PAIRED,,WGS,GENOMIC,RANDOM,378979.0,190247458.0,SUB10407804,64839405;79352946,,,United States government,2017-01-01,USA,Illumina MiSeq sequencing; WGS of M43791,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M43791,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2017,
SRX14456261,SRR18319078,SAMN26645810,SAMN26645810,SRS12261719,ILLUMINA,Illumina MiSeq,M40293,PAIRED,,WGS,GENOMIC,RANDOM,378983.0,190249466.0,SUB11096711,63577707;84688377,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40293,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40293,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX6601635,SRR9847139,SAMN12375354,SAMN12375354,SRS5166697,ILLUMINA,Illumina MiSeq,M06548,PAIRED,,WGS,GENOMIC,RANDOM,388431.0,190368792.0,SUB6080710,57481532;62775466,,,US State Health Department,,USA,Illumina MiSeq sequencing; H. influenzae (M06548) from convenience sample of CDC isolate collection,False,2019-07-27,False,,,,,,,,,,727,Haemophilus influenzae,M06548,SUB6080710,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2019-07-27; Haemophilus influenzae,,,,,,,,,,
SRX14456502,SRR18319181,SAMN26645991,SAMN26645991,SRS12261960,ILLUMINA,Illumina MiSeq,M39581,PAIRED,,WGS,GENOMIC,RANDOM,379262.0,190389524.0,SUB11096711,65898070;72118208,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39581,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39581,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
SRX14456090,SRR18318905,SAMN26645904,SAMN26645904,SRS12261548,ILLUMINA,Illumina MiSeq,M40011,PAIRED,,WGS,GENOMIC,RANDOM,379428.0,190472856.0,SUB11096711,67529536;80791219,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M40011,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M40011,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
ERX3291616,ERR3264972,SAMEA5380586,SAMEA5380586,ERS3187173,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,406452.0,190584246.0,University of Southampton,66258395;70837386,,,,2013-02-18,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1514,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1514,,,,,,,,,2013-02-18,
ERX2260781,ERR2206423,SAMEA104408355,SAMEA104408355,ERS2026297,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,411504.0,190640173.0,University of Southampton,73928773;84720108,,,,2010-02-01,United Kingdom,Illumina MiSeq paired end sequencing,False,2018-01-28,False,,nasopharynx,50.93292 N 1.434724 W,non-typeable,non-typeable,,,,,727,Haemophilus influenzae,4350,University of Southampton,,,,,,homo sapien,9606.0,healthy,,,,,,,,,4350,,,,,,50.93292,-1.434724,,2010-02,
SRX12367308,SRR16080895,SAMN21850880,SAMN21850880,SRS10338477,ILLUMINA,Illumina MiSeq,M41097_WGS,PAIRED,,WGS,GENOMIC,RANDOM,379856.0,190687712.0,SUB10407804,70029433;77322974,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M41097,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,M41097,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2016,
ERX3291443,ERR3264799,SAMEA5379554,SAMEA5379554,ERS3186142,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,423218.0,190751472.0,University of Southampton,71435815;76322451,,,,2012-02-29,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,463,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,463,,,,,,,,,2012-02-29,
ERX2579117,ERR2560709,SAMEA4643502,SAMEA4643502,ERS2464151,ILLUMINA,Illumina MiSeq,,PAIRED,250.0,WGS,GENOMIC,RANDOM,427149.0,190910292.0,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,63917952;74293670,,,,,Portugal,Illumina MiSeq paired end sequencing,False,2018-05-16,False,,,,NT,NT,,,,,727,Haemophilus influenzae,PTHi-13278,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,,,,,,,,,,,,,,,,,PTHi-13278,,,,,,,,,,
ERX3332425,ERR3306379,SAMEA5380030,SAMEA5380030,ERS3186618,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,505343.0,190931324.0,University of Southampton,73820850;76729374,,,,2012-08-23,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,942,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,942,,,,,,,,,2012-08-23,
ERX3332497,ERR3306451,SAMEA5380102,SAMEA5380102,ERS3186690,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,432975.0,190934209.0,University of Southampton,71692422;78264091,,,,2012-02-06,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1014,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1014,,,,,,,,,2012-02-06,
SRX6602212,SRR9847569,SAMN12374798,SAMN12374798,SRS5167274,ILLUMINA,Illumina MiSeq,M39466,PAIRED,,WGS,GENOMIC,RANDOM,383416.0,190957682.0,SUB6080710,57951516;63977001,,,US State Health Department,2016-01-01,USA,Illumina MiSeq sequencing; H. influenzae (M39466) from convenience sample of CDC isolate collection,False,2019-07-27,False,,blood,,,,,,,,727,Haemophilus influenzae,M39466,SUB6080710,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2019-07-27; Haemophilus influenzae,,,,,,,,,2016,
ERX3332690,ERR3306644,SAMEA5380296,SAMEA5380296,ERS3186883,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,436561.0,191013026.0,University of Southampton,75249444;79440211,,,,2012-12-18,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1211,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1211,,,,,,,,,2012-12-18,
ERX3332002,ERR3305952,SAMEA5379611,SAMEA5379611,ERS3186199,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,412865.0,191221631.0,University of Southampton,69886936;76567216,,,,2012-03-02,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,520,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,520,,,,,,,,,2012-03-02,
ERX3332356,ERR3306307,SAMEA5379965,SAMEA5379965,ERS3186553,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,423399.0,191269161.0,University of Southampton,71373283;78003339,,,,2011-09-07,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,877,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,877,,,,,,,,,2011-09-07,
SRX14456514,SRR18319169,SAMN26646074,SAMN26646074,SRS12261972,ILLUMINA,Illumina MiSeq,M39210,PAIRED,,WGS,GENOMIC,RANDOM,381128.0,191326256.0,SUB11096711,64485044;71164404,,,United States government,2016-01-01,USA,Illumina MiSeq sequencing; WGS of M39210,False,2022-03-18,False,,blood,,,,,,,,727,Haemophilus influenzae,M39210,SUB11096711,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2022-03-16; Haemophilus influenzae,,,,,,,,,2016,
ERX5688645,ERR6049665,SAMEA8912173,SAMEA8912173,ERS6595056,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,1412162.0,191523918.0,"IDIBELL, Bellvitge University Hospital",71811619;83115542,,,National Reference Centre of the Netherlands,2013-01-01,Netherlands,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,NL-CNR-HI2132417,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2013,
ERX3332269,ERR3306220,SAMEA5379878,SAMEA5379878,ERS3186466,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,441726.0,191555175.0,University of Southampton,69624695;73142174,,,,2011-12-05,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,789,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,789,,,,,,,,,2011-12-05,
ERX3332808,ERR3306762,SAMEA5380414,SAMEA5380414,ERS3187001,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,429336.0,191559988.0,University of Southampton,71085168;77636657,,,,2012-10-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1339,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1339,,,,,,,,,2012-10-17,
ERX3332581,ERR3306535,SAMEA5380187,SAMEA5380187,ERS3186774,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,431975.0,191685625.0,University of Southampton,65981379;73434050,,,,2012-01-13,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1099,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1099,,,,,,,,,2012-01-13,
ERX3332664,ERR3306618,SAMEA5380270,SAMEA5380270,ERS3186857,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,415306.0,191770294.0,University of Southampton,62457476;73873379,,,,2012-03-08,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1184,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1184,,,,,,,,,2012-03-08,
