accession_id,METHICILLIN,VANCOMYCIN
SRR1178155,mecA,none
SRR5909243,mecA,none
SRR11997544,none,none
SRR12078937,mecA,none
SRR6347089,none,none
SRR8074858,mecA,none
ERR237631,mecA,none
SRR4140052,mecA,none
ERR2533717,mecA,none
SRR5369589,none,none
ERR134831,mecA,none
SRR3728786,none,none
SRR14017164,none,none
SRR2053948,none,none
SRR10178998,mecA,none
ERR158631,mecA,none
ERR353160,mecA,none
ERR593203,mecA,none
SRR18339426,none,none
SRR17789777,none,none
ERR1904150,none,none
ERR1943868,none,none
ERR593129,mecA,none
ERR2855773,none,none
SRR4019420,mecA,none
SRR13803220,mecA,none
SRR7747935,mecA,none
SRR4359270,none,none
SRR7983618,mecA,none
ERR2525370,mecA,none
SRR631100,mecA,none
ERR496917,mecA,none
SRR14016727,none,none
ERR4626457,none,none
SRR13968619,none,none
SRR3194937,mecA,none
SRR13967688,none,none
SRR12649604,mecA,none
SRR9026201,none,none
ERR769140,mecA,none
SRR15460384,mecA,none
ERR5055955,none,none
SRR2054042,none,none
ERR357905,mecA,none
ERR234807,mecA,none
SRR2107106,none,none
SRR4359642,none,none
SRR1178220,mecA,none
SRR13968024,none,none
SRR7653496,mecA,none
ERR1943709,mecA,none
SRR3728930,none,none
SRR6938492,none,none
SRR13968113,none,none
ERR302822,mecA,none
SRR13968530,none,none
SRR16542546,mecA,none
ERR2059764,mecA,none
SRR5415366,mecA,none
SRR3194897,mecA,none
SRR13968601,none,none
ERR086100,mecA,none
SRR18339433,none,none
ERR036055,mecA,none
ERR109479,none,none
ERR036053,mecA,none
ERR3991243,mecA,none
SRR11278508,none,none
SRR9860654,mecA,none
SRR5415490,mecA,none
SRR13966992,mecA,none
ERR1723971,mecA,none
SRR14291780,mecA,none
SRR3204564,mecA,none
SRR10426551,mecC,none
ERR5055761,none,none
SRR7839754,mecA,none
ERR1904080,none,none
SRR5054940,none,none
ERR594082,mecA,none
SRR12078853,none,none
ERR1195835,mecA,none
ERR2533700,mecA,none
ERR1069912,none,none
SRR7983725,none,none
SRR14673805,mecA,none
ERR4017522,none,none
ERR3938547,none,none
ERR1069877,none,none
SRR6387502,mecA,none
SRR13967992,none,none
ERR1040879,mecA,none
SRR15460770,mecA,none
SRR15461008,mecA,none
SRR14862046,mecA,none
SRR5815606,none,none
SRR3728912,none,none
SRR13967632,none,none
SRR1177944,mecA,none
SRR14673709,mecA,none
SRR1539692,none,none
SRR13803364,mecA,none
SRR6053709,mecA,none
SRR16542434,mecA,none
SRR6347098,none,none
ERR3991168,mecA,none
ERR2525354,mecA,none
SRR12952270,none,none
SRR13968554,mecA,none
SRR1177878,mecA,none
ERR2072576,mecA,none
SRR12693251,none,none
SRR14231447,none,none
SRR3731857,none,none
ERR2059546,mecA,none
SRR5250616,none,none
ERR035999,mecA,none
SRR12078807,none,none
SRR3729159,mecA,none
ERR1040887,mecA,none
ERR4808333,mecA,none
ERR1699921,none,none
SRR7983737,mecA,none
SRR13968031,none,none
ERR1195970,mecA,none
ERR2533575,mecA,none
SRR3729030,none,none
ERR2059544,mecC,none
SRR14933421,none,none
ERR234947,mecA,none
SRR3730908,none,none
SRR5250127,mecA,none
SRR8399146,mecA,none
SRR15460982,mecA,none
ERR3623897,mecA,none
SRR14017132,none,none
ERR1904228,none,none
SRR9647293,mecA,none
SRR12079063,none,none
ERR4662250,none,none
SRR5486370,mecA,none
ERR2137429,none,none
ERR163540,mecA,none
SRR13968037,none,none
SRR13061256,none,none
ERR358015,mecA,none
ERR036003,mecA,none
SRR12472858,none,none
SRR13825678,mecA,none
SRR13967567,none,none
SRR5054913,none,none
SRR3729047,none,none
ERR1040825,mecA,none
ERR1943827,mecA,none
SRR11278557,none,none
ERR5056038,mecC,none
ERR2059557,mecA,none
SRR18056662,mecA,none
ERR496905,mecA,none
SRR3418746,mecA,none
SRR3731849,none,none
SRR15460587,mecA,none
SRR14017220,none,none
SRR10393706,mecA,none
ERR1195838,mecA,none
ERR2533756,mecA,none
ERR035990,mecA,none
SRR10393714,mecA,none
SRR2053863,mecA,none
SRR16542436,mecA,none
ERR5055998,none,none
SRR5201494,mecA,none
ERR1591765,none,none
SRR10393782,mecA,none
ERR1592167,mecA,none
SRR15461041,mecA,none
SRR6053659,mecA,none
SRR12078896,none,none
ERR045053,mecA,none
ERR593227,mecA,none
ERR1070012,none,none
SRR7983666,mecA,none
SRR7983615,mecA,none
SRR6346898,none,none
ERR4014895,none,none
SRR3545490,none,none
ERR2506439,mecA,none
ERR594208,mecA,none
ERR1943792,none,none
SRR796727,mecA,none
ERR2868327,mecA,none
ERR4845777,none,none
SRR3728377,none,none
SRR13966988,none,none
ERR1213798,none,none
SRR18056664,mecA,none
SRR3731929,mecA,none
ERR5984900,mecA,none
SRR15041145,mecA,none
SRR7839722,none,none
SRR5313892,mecA,none
SRR11364497,mecA,none
SRR13968478,none,none
SRR6491076,mecA,none
SRR15275000,none,none
SRR3731458,none,none
ERR1753433,none,none
SRR1162409,mecA,none
SRR5415312,mecA,none
ERR3012736,none,none
ERR2533728,mecA,none
ERR1069977,none,none
SRR11567651,none,none
ERR1769109,mecA,none
SRR13967785,none,none
ERR111054,mecA,none
SRR10178976,mecA,none
SRR3418701,mecA,none
ERR2533645,mecA,none
ERR1943797,mecA,none
SRR5250136,none,none
SRR1955581,none,none
ERR134810,mecA,none
ERR118447,mecA,none
SRR13968422,none,none
SRR13174229,none,none
SRR3729423,none,none
SRR11997578,none,none
ERR2505635,none,none
SRR16542575,mecA,none
SRR14193250,none,none
ERR177193,mecA,none
SRR10127057,mecA,none
SRR15461010,mecA,none
ERR4626535,none,none
ERR1212602,none,none
SRR3419047,mecA,none
ERR1699907,none,none
ERR159037,mecA,none
SRR917650,mecA,none
ERR111076,mecA,none
ERR172082,none,none
SRR13967329,none,none
ERR107851,mecA,none
SRR13968123,none,none
SRR1655528,mecA,none
ERR957823,mecA,none
ERR2533562,mecA,none
SRR5250418,none,none
SRR10038343,mecA,none
SRR13995564,none,none
ERR1040913,mecA,none
SRR7748047,mecA,none
SRR12472989,none,none
ERR4911797,none,none
ERR158617,mecA,none
SRR17789646,none,none
SRR8810464,mecA,none
SRR3419076,mecA,none
SRR11278552,none,none
SRR4140086,mecA,none
SRR3418693,mecA,none
SRR12472884,none,none
ERR163560,mecA,none
SRR6304963,mecA,none
ERR2525302,mecA,none
SRR3731530,none,none
SRR13267217,mecA,none
SRR6938558,mecA,none
ERR163654,mecA,none
ERR234982,mecA,none
SRR12472439,none,none
SRR7867626,mecA,none
ERR5442360,none,none
ERR1723864,mecA,none
ERR360216,mecA,none
ERR2137522,mecA,none
SRR12560315,mecA,none
SRR6169022,none,none
ERR1197266,mecA,none
SRR13194619,mecA,none
SRR8602112,none,none
SRR8074780,mecA,none
SRR13967998,none,none
SRR1172628,mecA,none
ERR594183,mecA,none
ERR1070047,none,none
ERR593136,mecA,none
SRR5244891,mecA,none
SRR11850388,mecA,none
ERR302836,none,none
SRR13450768,none,none
SRR3728751,none,none
SRR12233429,mecA,none
ERR4626570,mecA,none
ERR1227379,mecA,none
SRR3418437,mecA,none
SRR3731620,none,none
SRR7748102,mecA,none
SRR10728132,mecA,none
ERR594200,mecA,none
SRR13968271,mecA,none
SRR12473014,mecA,none
ERR4626390,mecA,none
ERR2072516,mecA,none
ERR353151,mecA,none
SRR12472955,none,none
ERR1891797,mecA,none
SRR11850321,mecA,none
ERR1197256,mecA,none
SRR13967664,none,none
SRR6938608,none,none
SRR11139235,mecA,none
ERR5055899,none,none
ERR163695,mecA,none
SRR3730890,none,none
SRR15460388,mecA,none
ERR2525342,mecA,none
SRR3418841,mecA,none
SRR1178121,mecA,none
ERR1143388,none,none
SRR13825497,mecA,none
DRR307750,mecA,none
SRR4359636,none,none
ERR1891766,mecA,none
ERR1904070,none,none
SRR14933512,none,none
ERR4014920,none,none
SRR1162440,mecA,none
SRR5415355,mecA,none
SRR5226403,none,none
SRR17789884,none,none
SRR3729005,none,none
SRR13968309,none,none
SRR3729162,none,none
SRR12952451,none,none
SRR7407866,mecA,none
ERR1943742,none,none
SRR647423,mecA,none
ERR156481,mecA,none
ERR3623564,mecA,none
SRR13968481,none,none
ERR1891782,mecA,none
SRR17118734,none,none
SRR3730840,none,none
SRR5887034,none,none
SRR17789931,none,none
SRR17071272,mecA,none
SRR513968,mecA,none
ERR360234,mecA,none
ERR134778,mecA,none
ERR358073,mecA,none
ERR1769142,mecA,none
SRR7297586,mecA,none
SRR7538253,mecA,none
ERR118399,mecA,none
ERR084492,mecA,none
SRR5249844,none,none
SRR6480864,none,none
SRR1539685,none,none
SRR14866231,mecA,none
ERR3012686,mecA,none
ERR2072439,mecA,none
SRR12333133,mecA,none
SRR3728408,none,none
SRR13967877,none,none
ERR2533534,mecA,none
SRR13803011,mecA,none
SRR3731843,mecA,none
SRR13967618,none,none
ERR1723878,mecA,none
ERR4626513,none,none
SRR11850362,mecA,none
SRR17071281,mecA,none
SRR11996455,mecA,none
SRR8872483,none,none
ERR137391,mecA,none
SRR13967119,none,none
SRR1955874,mecA,none
ERR829970,none,none
SRR6053669,mecA,none
SRR5244686,mecA,none
SRR10102439,mecA,none
ERR234942,mecA,none
SRR5250727,none,none
SRR14291742,mecA,none
ERR4845669,none,none
SRR13967587,none,none
ERR1943756,none,none
SRR13968118,none,none
SRR13967979,mecA,none
SRR8399134,mecA,none
ERR8711296,mecA,none
SRR13174301,none,none
SRR5100326,none,none
SRR5244773,none,none
ERR5055946,none,none
ERR1197477,mecA,none
SRR12952350,none,none
ERR2059774,mecA,none
ERR107936,mecA,none
ERR1715474,none,none
ERR1699828,none,none
ERR5055812,none,none
ERR485293,mecA,none
ERR3991181,mecA,none
SRR5415209,mecA,none
SRR3730643,mecA,none
SRR3731548,none,none
SRR12952389,mecA,none
SRR10038319,mecA,none
ERR3938640,none,none
SRR13995591,none,none
SRR17789728,none,none
SRR6332104,none,none
SRR5249975,mecA,none
SRR7653520,mecA,none
ERR1699936,none,none
SRR5226504,none,none
ERR1769117,mecA,none
ERR517340,mecA,none
SRR14017268,none,none
SRR3730745,mecA,none
SRR10102431,mecA,none
SRR5909236,mecA,none
ERR732823,mecA,none
SRR5415276,mecA,none
ERR4911886,none,none
SRR3731902,none,none
ERR7162629,mecA,none
ERR4845637,none,none
SRR8712648,mecA,none
SRR10905598,none,none
SRR13803443,mecA,none
ERR358123,mecA,none
SRR3419127,mecA,none
SRR14016865,none,none
DRR123091,mecA,none
SRR10038389,mecA,none
ERR234961,mecA,none
SRR13967454,none,none
ERR235044,mecA,none
ERR7162633,none,none
ERR163527,mecA,none
ERR2072526,mecA,none
ERR1769091,mecA,none
ERR1041146,mecA,none
ERR302732,mecA,none
SRR10179247,mecA,none
ERR118593,mecA,none
SRR11139289,mecA,none
ERR118342,mecA,none
SRR13968737,none,none
ERR330923,mecA,none
SRR15882872,none,none
ERR7434436,mecA,none
SRR3731923,none,none
ERR3623726,mecA,none
SRR3730881,none,none
ERR1197482,mecA,none
SRR17118772,mecA,none
SRR11612822,none,none
ERR158690,mecA,none
ERR769146,mecA,none
SRR13968605,none,none
ERR5055828,none,none
SRR5226462,none,none
SRR14017260,none,none
ERR137339,mecA,none
SRR8389101,none,none
ERR212241,mecA,none
SRR13967293,none,none
SRR12960632,mecA,none
SRR8389035,mecA,none
SRR1178250,mecA,none
SRR15928243,mecA,none
SRR14673318,mecA,none
SRR13481240,mecA,none
SRR7839607,mecA,none
ERR355915,mecA,none
SRR6347205,none,none
SRR8872481,none,none
ERR1943818,mecA,none
SRR7839634,mecA,none
ERR485637,mecA,none
ERR4911668,none,none
SRR14016700,none,none
ERR158687,mecA,none
SRR5415462,mecA,none
ERR353174,mecA,none
ERR505362,mecA,none
SRR13967672,none,none
ERR2506468,mecA,none
SRR13968475,none,none
ERR1040985,none,none
ERR358136,mecA,none
SRR12586751,mecA,none
SRR8389089,none,none
SRR3730610,none,none
SRR7031275,mecA,none
ERR2232640,mecA,none
SRR3437709,mecA,none
SRR6978937,mecA,none
ERR134780,mecA,none
SRR10717345,mecA,none
ERR1715399,mecA,none
SRR10168015,none,none
ERR2780054,none,none
ERR357888,mecA,none
ERR357882,mecA,none
SRR12473023,none,none
SRR3418742,mecA,none
ERR124455,mecA,none
ERR1195826,mecA,none
SRR13967521,none,none
SRR9647372,mecA,none
SRR3728587,mecA,none
SRR13803656,mecA,none
SRR10179086,mecA,none
ERR156431,mecA,none
SRR13967715,none,none
ERR1040917,mecA,none
SRR12952422,mecA,none
SRR12952174,none,none
SRR13803256,mecA,none
SRR9030009,none,none
ERR163517,mecA,none
SRR12472778,mecA,none
ERR237692,mecA,none
SRR17789984,none,none
SRR13967216,none,none
SRR3545505,mecA,none
SRR6938598,none,none
SRR13966980,none,none
SRR5250263,none,none
SRR13967247,none,none
SRR13298011,none,none
SRR8810192,mecA,none
ERR2525278,mecA,none
SRR13803418,mecA,none
SRR3728646,none,none
ERR3012778,mecA,none
SRR7297588,mecA,none
SRR9046753,none,none
SRR3729081,none,none
SRR13450770,none,none
SRR8733600,mecA,none
ERR7162602,none,none
SRR13968320,none,none
ERR109649,none,none
SRR12568951,mecA,none
ERR2505616,none,none
ERR1769167,mecA,none
SRR14457760,none,none
ERR163635,mecA,none
SRR5415300,mecA,none
ERR1212594,none,none
SRR13194766,mecA,none
ERR137334,mecA,none
SRR5054919,none,none
SRR12472607,mecA,none
ERR1195960,mecA,none
SRR7983608,mecA,none
SRR11484282,none,none
SRR3418741,mecA,none
SRR6347033,none,none
SRR12472640,mecA,none
SRR14571851,none,none
ERR118495,mecA,none
SRR5250273,mecA,none
ERR118497,mecA,none
ERR2533576,mecA,none
SRR13995537,none,none
SRR3437737,mecA,none
SRR10905545,none,none
SRR13967551,none,none
SRR917675,mecA,none
SRR5249847,none,none
SRR8872660,none,none
SRR5250178,mecA,none
SRR10179033,mecA,none
SRR3194952,mecA,none
ERR237714,mecA,none
SRR10426547,mecC,none
SRR12079061,none,none
ERR2780040,none,none
SRR5226422,none,none
SRR3729195,none,none
SRR15041155,mecA,none
ERR163607,mecA,none
SRR11996428,mecA,none
ERR2533693,mecA,none
ERR4626504,none,none
SRR1955500,mecA,none
ERR134787,mecA,none
ERR3623831,mecA,none
ERR163462,mecA,none
SRR5250281,none,none
ERR5055838,none,none
SRR11996449,mecA,none
SRR5250326,none,none
ERR084645,mecA,none
SRR13174311,none,none
ERR163634,mecA,none
ERR2685207,mecA,none
SRR13967323,none,none
ERR1943800,mecA,none
SRR12078957,none,none
SRR6171563,none,none
ERR1715468,mecA,none
ERR1196013,mecA,none
ERR1577194,mecC,none
ERR4845635,none,none
SRR15274974,none,none
SRR13149199,none,none
SRR14017061,none,none
SRR15460526,mecA,none
SRR13967261,none,none
SRR5249937,none,none
ERR1591740,mecA,none
SRR3418949,mecA,none
SRR3728980,none,none
ERR496840,mecA,none
SRR2054061,none,none
SRR5909285,mecA,none
SRR5249986,none,none
SRR7983576,mecA,none
SRR6938614,none,none
ERR1715470,mecA,none
ERR4900003,mecA,none
SRR6332152,none,none
ERR352968,mecA,none
ERR1040979,mecA,none
ERR1769111,mecA,none
SRR7867460,mecA,none
ERR5055814,none,none
SRR17952383,mecA,none
SRR3729497,none,none
SRR14016950,none,none
SRR6053653,none,none
SRR5250170,none,none
SRR5250064,none,none
ERR1715371,mecA,none
SRR11016202,mecA,none
SRR5250393,none,none
ERR5056013,none,none
SRR13450705,none,none
ERR3623775,mecA,none
SRR3731470,none,none
SRR3419128,mecA,none
SRR15460957,mecA,none
ERR1197507,mecA,none
SRR13995705,none,none
SRR13481044,mecA,none
ERR358147,mecA,none
SRR15461026,mecA,none
SRR15460599,mecA,none
SRR8278157,mecA,none
ERR1592303,none,none
ERR1891855,mecA,none
SRR3419029,mecA,none
ERR4911823,none,none
ERR7446563,none,none
ERR237660,mecA,none
SRR7867442,mecA,none
SRR11612815,none,none
SRR11850345,mecA,none
ERR163353,mecA,none
ERR1715418,mecA,none
SRR7840130,mecA,none
ERR360256,mecA,none
ERR2505643,none,none
SRR3418451,mecA,none
ERR4017544,none,none
SRR12586696,none,none
ERR1195967,mecA,none
SRR16094637,none,none
SRR5250053,none,none
SRR13966997,none,none
SRR13967037,none,none
ERR1197470,mecA,none
SRR13967474,none,none
ERR2059591,mecA,none
SRR12233431,mecA,none
ERR1943778,none,none
SRR7653539,mecA,none
SRR13825638,mecA,none
SRR3437715,mecA,none
SRR6938288,none,none
SRR1790308,none,none
SRR3730544,mecA,none
SRR3729127,none,none
SRR15460703,mecA,none
SRR12472649,mecA,none
SRR2053845,none,none
SRR12472682,mecA,none
SRR6938346,mecA,none
SRR18339492,none,none
SRR2059998,none,none
SRR1177888,none,none
ERR3623766,mecA,none
ERR1682011,mecA,none
ERR1227388,mecA,none
ERR3938668,mecA,none
SRR14866248,mecA,none
ERR1069891,none,none
ERR3623607,mecA,none
SRR6346830,mecA,none
SRR8278146,mecA,none
ERR593118,mecA,none
ERR2533465,mecA,none
SRR7297363,mecA,none
ERR505368,none,none
ERR593138,mecA,none
ERR084676,mecA,none
SRR5887066,none,none
ERR163596,mecA,none
SRR1162383,mecA,none
SRR917679,mecA,none
SRR12952259,none,none
ERR2232616,mecA,none
SRR10905464,mecA,none
SRR5415319,mecA,none
ERR353306,mecA,none
SRR5714658,none,none
SRR8278152,mecA,none
ERR2137088,none,none
ERR1943804,none,none
SRR12472873,none,none
ERR4899958,mecA,none
ERR1069962,none,none
SRR15461011,mecA,none
ERR7162575,none,none
SRR12586788,mecA,none
SRR10126923,mecA,none
ERR256891,mecA,none
ERR4015311,none,none
ERR4845641,none,none
SRR3730706,none,none
SRR11016238,mecA,none
ERR5984892,none,none
SRR5249887,none,none
ERR3012793,mecA,none
SRR12472936,none,none
ERR111123,mecA,none
ERR2072546,mecA,none
SRR14193233,none,none
SRR14017138,none,none
ERR1769089,mecA,none
ERR3494978,mecA,none
SRR13967420,none,none
SRR11567656,none,none
SRR5250560,none,none
ERR2506351,mecA,none
SRR3729326,none,none
SRR15460446,mecA,none
ERR084518,mecA,none
ERR1769144,mecA,none
SRR11996432,mecA,none
SRR7297303,mecA,none
SRR5909257,mecA,none
ERR114891,none,none
ERR234995,mecA,none
SRR11278479,none,none
SRR5250114,none,none
ERR1143408,none,none
ERR134728,mecA,none
SRR3730656,none,none
ERR358070,mecA,none
ERR2137284,none,none
SRR15460404,mecA,none
ERR5056046,mecC,none
SRR15460448,mecA,none
ERR358001,mecA,none
SRR13967267,none,none
ERR118535,mecA,none
SRR17071316,none,none
ERR1041148,mecA,none
SRR2054013,none,none
ERR2059712,mecA,none
SRR10393730,mecA,none
ERR1904192,none,none
SRR5415410,mecA,none
SRR6347195,none,none
SRR14673239,mecA,none
ERR1715336,none,none
ERR163675,mecA,none
SRR5313836,mecA,none
SRR1177877,mecA,none
SRR13968570,none,none
SRR6347239,mecA,none
SRR11139424,mecA,none
SRR10178951,mecA,none
SRR11850312,none,none
SRR2054009,none,none
ERR3623705,mecA,none
SRR5369552,mecA,none
ERR4014964,none,none
SRR13966984,mecA,none
SRR5226520,none,none
SRR13803455,mecA,none
SRR7748053,mecA,none
ERR1904054,none,none
SRR3729170,none,none
SRR4359177,none,none
SRR12342908,mecA,none
ERR1753444,none,none
SRR5369670,mecA,none
ERR3623616,mecA,none
ERR134808,mecA,none
SRR14866256,mecA,none
SRR3731413,mecA,none
ERR2145267,mecA,none
ERR2059792,mecA,none
SRR5887186,none,none
ERR496895,mecA,none
SRR7653485,none,none
ERR5056018,none,none
SRR8592695,mecA,none
SRR3728411,none,none
ERR2072345,mecA,none
SRR7839633,mecA,none
SRR9026178,none,none
SRR3731714,none,none
SRR5369671,none,none
SRR13995934,none,none
ERR134800,mecA,none
SRR3729440,none,none
SRR8872616,mecA,none
SRR10728160,mecA,none
SRR13803048,mecA,none
ERR4014757,none,none
SRR15460455,mecA,none
SRR1655308,none,none
SRR13967704,none,none
SRR13967571,none,none
SRR11139398,mecA,none
SRR13995819,none,none
SRR10906022,mecA,none
ERR1699970,none,none
ERR4014999,none,none
SRR8712639,mecA,none
SRR15460592,mecA,none
SRR10905487,mecA,none
ERR2072339,mecA,none
SRR631761,mecA,none
ERR7162690,none,none
SRR5909270,mecA,none
ERR2506410,mecA,none
ERR485364,mecA,none
ERR234898,mecA,none
SRR5369719,none,none
ERR1904170,none,none
SRR6346914,none,none
ERR159021,mecA,none
SRR1177882,mecA,none
SRR15460709,mecA,none
SRR3731928,none,none
ERR4626387,mecA,none
ERR086130,mecA,none
SRR11996418,mecA,none
ERR1699853,none,none
SRR13967069,none,none
SRR3728908,none,none
SRR5415495,mecA,none
SRR3730739,none,none
SRR3728583,none,none
SRR13967898,none,none
SRR15460667,mecA,none
SRR13267185,mecA,none
ERR4626356,mecA,none
SRR11278537,none,none
ERR1195989,mecA,none
SRR13968496,none,none
SRR12481471,mecA,none
ERR3938552,none,none
SRR8399136,mecA,none
ERR2639476,mecA,none
ERR1904218,none,none
SRR13825847,mecA,none
SRR12473087,mecA,none
SRR8712550,mecA,none
ERR2533552,mecA,none
ERR5442404,none,none
SRR5909238,mecA,none
ERR172062,none,none
ERR1195889,mecA,none
SRR8592688,mecA,none
ERR1040852,mecA,none
SRR1178240,mecA,none
SRR13967917,mecA,none
ERR1143419,none,none
SRR10717167,mecA,none
ERR1723869,mecA,none
ERR4626603,none,none
SRR11996431,mecA,none
SRR5244813,none,none
SRR14017103,none,none
SRR6346915,none,none
SRR6484480,mecA,none
ERR1213763,none,none
SRR5250739,none,none
ERR159013,mecA,none
SRR18339371,none,none
SRR16312714,mecA,none
ERR505373,none,none
SRR791216,mecA,none
ERR1577195,mecC,none
ERR1040753,mecA,none
SRR3728792,none,none
ERR1041155,mecA,none
SRR12078826,none,none
SRR3730680,none,none
SRR1178104,mecA,none
SRR3194900,mecA,none
SRR6332140,none,none
SRR13968239,none,none
SRR1539721,none,none
SRR4140047,mecA,none
ERR2072396,mecA,none
SRR9176893,mecA,none
ERR2059641,mecA,none
ERR9130996,none,none
SRR5250299,none,none
SRR4872568,none,none
SRR6475666,mecA,none
SRR13995831,none,none
SRR10905831,none,none
SRR15461123,mecA,none
SRR13298000,none,none
SRR5909280,mecA,none
SRR13481036,mecA,none
ERR4624833,mecA,none
SRR12472580,mecA,none
SRR13267186,mecA,none
SRR3418834,mecA,none
SRR6304958,mecA,none
SRR13968720,none,none
ERR5432551,none,none
SRR3731862,none,none
SRR5226453,none,none
SRR14673328,mecA,none
SRR13968556,none,none
ERR7434453,mecA,none
SRR5250776,none,none
ERR732852,mecA,none
SRR8712606,mecA,none
SRR6347011,mecA,none
ERR593607,mecA,none
ERR1943743,none,none
SRR12472572,none,none
SRR6171547,none,none
SRR13825590,mecA,none
SRR7867533,mecA,none
SRR13967676,none,none
SRR11016286,mecA,none
ERR134669,mecA,none
ERR129278,mecA,none
ERR5055907,none,none
SRR513950,mecA,none
SRR13995622,none,none
ERR177214,mecA,none
SRR10179091,mecA,none
SRR8352231,none,none
SRR6909881,mecA,none
SRR9026164,none,none
SRR13967801,none,none
SRR10905838,mecA,none
ERR1069834,none,none
ERR353209,mecA,none
ERR5055781,none,none
SRR12124557,mecA,none
SRR15461085,mecA,none
ERR494744,none,none
ERR1069943,none,none
SRR10717201,mecA,none
SRR3730483,none,none
ERR6848203,none,none
ERR1197201,mecA,none
SRR13968260,none,none
SRR13733387,mecA,none
SRR5244694,mecA,none
SRR11850444,mecA,none
SRR3419141,mecA,none
SRR513962,mecA,none
ERR1723866,mecA,none
ERR134733,mecA,none
SRR5250809,mecA,none
ERR134402,mecA,none
ERR4899999,mecA,none
SRR7296985,mecA,none
SRR6053711,none,none
SRR15460573,mecA,none
SRR14721893,mecA,none
DRR187563,none,none
ERR2533666,mecA,none
SRR7839850,mecA,none
SRR6347212,none,none
SRR6387504,mecA,none
ERR1069917,none,none
ERR1069871,none,none
SRR11612773,mecA,none
SRR13967166,mecA,none
ERR1699900,none,none
SRR13966814,none,none
ERR2855763,mecA,none
ERR3623814,mecA,none
SRR5244918,mecA,none
SRR7839960,mecA,none
ERR1070048,none,none
SRR5226438,none,none
ERR1904091,none,none
SRR6347201,mecA,none
SRR11278550,none,none
SRR7748073,mecA,none
ERR2639524,none,none
SRR3728673,none,none
ERR357929,mecA,none
SRR2054034,mecA,none
SRR5249925,none,none
SRR4359212,none,none
SRR10525417,mecA,none
ERR2525362,mecA,none
ERR1069942,none,none
SRR7829232,none,none
SRR13968103,none,none
ERR163518,mecA,none
ERR1040930,mecA,none
SRR3731842,mecA,none
SRR14862029,mecA,none
ERR7681418,none,none
SRR7748127,mecA,none
ERR3938618,mecA,none
SRR1178128,mecA,none
ERR2533626,mecA,none
SRR15533158,mecA,none
ERR137362,mecA,none
SRR4039801,mecA,none
SRR14673348,mecA,none
ERR129277,mecA,none
SRR10126941,mecA,none
ERR1715475,mecA,none
SRR13968595,none,none
SRR3730832,none,none
ERR2059580,mecA,none
ERR177222,mecA,none
ERR769130,mecA,none
SRR12342938,mecA,none
SRR13967599,none,none
ERR1577203,mecC,none
SRR5146192,mecA,none
ERR7162672,mecA,none
SRR11484279,mecA,none
SRR3730812,none,none
SRR13194667,mecA,none
SRR12960663,mecA,none
SRR7538245,mecA,none
SRR12472803,none,none
SRR1539682,none,none
SRR5100337,mecA,none
ERR137356,mecA,none
SRR15460767,mecA,none
ERR353204,mecA,none
SRR10179292,mecA,none
SRR13968370,none,none
SRR13968249,mecA,none
ERR4626540,none,none
SRR15460769,mecA,none
ERR4899874,mecA,none
SRR7764591,mecA,none
ERR4014762,none,none
SRR5369704,mecA,none
SRR13174242,none,none
SRR13149189,none,none
DRR123156,mecA,none
SRR5250438,none,none
ERR158719,mecA,none
SRR7983645,mecA,none
ERR357962,mecA,none
SRR6322546,none,none
SRR3728605,none,none
SRR7840016,mecA,none
SRR3729293,none,none
SRR13996043,none,none
ERR1904179,none,none
ERR1070009,none,none
SRR3731901,none,none
SRR1539757,none,none
ERR3498238,mecA,none
SRR5250213,none,none
ERR107954,mecA,none
SRR13967089,none,none
SRR12472564,none,none
SRR13995657,none,none
ERR3623718,mecA,none
SRR10179175,mecA,none
SRR13967773,none,none
SRR13968288,none,none
SRR5226421,none,none
SRR7296871,mecA,none
SRR8809975,mecA,none
ERR134632,mecA,none
SRR7867634,mecA,none
SRR2053878,none,none
ERR064919,mecA,none
SRR15275050,none,none
SRR10178945,mecA,none
SRR13689513,mecA,none
SRR2915834,mecA,none
ERR234894,mecA,none
ERR2072356,mecA,none
SRR7867476,mecA,none
SRR1790317,none,none
SRR3731795,mecA,none
SRR5250441,none,none
SRR5415463,mecA,none
SRR16542567,mecA,none
SRR17651498,mecA,none
SRR15461102,mecA,none
SRR13968461,none,none
ERR3623815,mecA,none
SRR13803268,mecA,none
SRR12124527,mecA,none
ERR2505612,none,none
SRR3729371,none,none
ERR5442443,none,none
SRR10717197,mecA,none
SRR13995639,none,none
ERR064952,mecA,none
ERR235005,mecA,none
ERR1700093,none,none
SRR13967816,mecA,none
ERR235016,mecA,none
SRR7764569,mecA,none
SRR13996038,none,none
ERR2059778,mecC,none
SRR11109867,mecA,none
SRR13967478,none,none
SRR6053644,none,none
SRR10393773,mecA,none
ERR485556,mecA,none
SRR17118723,none,none
SRR13450685,none,none
SRR13995605,none,none
ERR593855,mecA,none
ERR1904104,none,none
SRR12960694,mecA,none
SRR10168023,none,none
SRR17789660,none,none
ERR2525402,mecA,none
SRR5250778,none,none
ERR230321,mecA,none
SRR3418865,mecA,none
ERR4013715,none,none
SRR7747951,mecA,none
SRR12586698,mecA,none
SRR12952311,none,none
SRR12586692,mecA,none
SRR15904892,mecA,none
SRR11850447,mecA,none
ERR3012708,none,none
